,natemis,Antr+BB,Totemis,ch4lifetime_fact,Conc,Trend
1950,215.0,165.44423622518232,380.4442362251823,1.0,1156.7364261214464,
1951,215.0,181.5398843317661,396.5398843317661,1.0,1158.8714216847588,2.1349955633124864
1952,215.0,187.68166589082924,402.6816658908292,1.0,1162.8064914359704,3.9350697512115858
1953,215.0,193.63020581337207,408.6302058133721,1.0,1168.2759226049732,5.469431169002746
1954,215.0,199.15880242379365,414.15880242379365,1.0,1174.9684872183675,6.692564613394325
1955,215.0,204.36717252240715,419.36717252240715,1.0,1182.6409124969089,7.672425278541368
1956,215.0,211.13917046441813,426.13917046441816,1.0,1191.7026225979087,9.06171010099979
1957,215.0,217.36410999746863,432.36410999746863,1.0,1201.8164303805481,10.11380778263947
1958,215.0,220.52987679908665,435.52987679908665,1.0,1211.8488576853483,10.032427304800194
1959,215.0,225.6699184124753,440.66991841247534,1.0,1222.4644947871102,10.615637101761877
1960,215.0,231.08350712933756,446.0835071293376,1.0,1233.6888598065875,11.224365019477318
1961,215.0,239.81707031491294,454.81707031491294,1.0,1246.5560565627882,12.867196756200656
1962,215.0,242.73843169743012,457.7384316974301,1.0,1258.9524303409496,12.396373778161433
1963,215.0,252.57641659525984,467.57641659525984,1.0,1273.2270843295994,14.274653988649789
1964,215.0,253.78508937239053,468.78508937239053,1.0,1286.3046930778066,13.07760874820724
1965,215.0,260.7489502734299,475.7489502734299,1.0,1300.2300674027201,13.925374324913491
1966,215.0,265.2430465845324,480.2430465845324,1.0,1314.088297385244,13.85822998252388
1967,215.0,272.1189694198009,487.1189694198009,1.0,1328.6776903361563,14.58939295091227
1968,215.0,275.9700567619466,490.9700567619466,1.0,1342.9121035171968,14.234413181040509
1969,215.0,280.66963851413317,495.66963851413317,1.0,1357.112992335377,14.200888818180147
1970,215.0,286.7554424719951,501.7554424719951,1.0,1371.7443495267569,14.631357191379948
1971,215.0,296.29479715759095,511.29479715759095,1.0,1387.904587263854,16.160237737097077
1972,215.0,309.7925504905967,524.7925504905967,1.0,1406.7367425959212,18.83215533206726
1973,215.0,321.5097804752024,536.5097804752024,1.0,1427.3504895739009,20.613746977979645
1974,215.0,323.90781625487864,538.9078162548786,1.0,1446.4522815487724,19.101791974871503
1975,215.0,317.6599241426396,532.6599241426396,1.0,1461.3408818561034,14.88860030733099
1976,215.0,332.4310155097663,547.4310155097663,1.0,1479.466545663784,18.125663807680667
1977,215.0,331.86937666306744,546.8693766630674,1.0,1495.3762054568188,15.909659793034734
1978,215.0,341.8147800298701,556.8147800298701,1.0,1512.8064260111084,17.43022055428969
1979,215.0,343.8016532522121,558.8016532522121,1.0,1528.9446418206878,16.13821580957938
1980,215.0,336.43435957683573,551.4343595768357,1.0,1540.829846231306,11.885204410618144
1981,215.0,319.944026226233,534.9440262262331,1.0,1545.9093135981648,5.0794673668588075
1982,215.0,325.4862880386215,540.4862880386215,1.0,1552.260115719462,6.350802121297193
1983,215.0,314.78340390067586,529.7834039006759,1.0,1554.3463574245857,2.0862417051237117
1984,215.0,313.6218524399723,528.6218524399724,1.0,1555.8133560143185,1.4669985897328388
1985,215.0,312.6892946359584,527.6892946359584,1.0,1556.8064763563384,0.9931203420198926
1986,215.0,315.3279750176004,530.3279750176005,1.0,1558.564463872377,1.757987516038611
1987,215.0,317.2485140553672,532.2485140553672,1.0,1560.7632464351698,2.1987825627927577
1988,215.0,321.411691319549,536.4116913195489,1.0,1564.09804542697,3.3347989918001986
1989,215.0,324.1105786961214,539.1105786961214,1.0,1567.9555026173575,3.8574571903875494
1990,215.0,328.0908796007256,543.0908796007257,1.0,1572.7025373773522,4.747034759994676
1991,215.0,341.6898806403371,556.6898806403372,1.0,1581.4330437804856,8.730506403133404
1992,215.0,321.75928362938964,536.7592836293896,1.0,1582.5688449907927,1.135801210307136
1993,215.0,320.736322800518,535.736322800518,1.0,1583.2378375293927,0.6689925385999231
1994,215.0,332.26831963852857,547.2683196385285,1.0,1587.6606558664687,4.4228183370760235
1995,215.0,324.2177472722203,539.2177472722203,1.0,1588.9153833833182,1.2547275168494707
1996,215.0,327.5188030162106,542.5188030162105,1.0,1591.1256008050227,2.210217421704556
1997,215.0,350.5117382000001,565.5117382000001,1.0,1600.722213678796,9.59661287377321
1998,215.0,330.2514803,545.2514803,1.0,1602.5176926658207,1.7954789870248078
1999,215.0,321.97082819999997,536.9708281999999,1.0,1601.3628759284234,-1.1548167373973683
2000,225.33464648533754,321.0746415,546.4092879853375,1.0,1603.4710230271953,2.1081470987719513
2001,213.90725818028523,322.0038254,535.9110835802852,1.0,1601.857616349391,-1.613406677804278
2002,206.08713084067384,329.2447249,535.3318557406739,1.0,1600.2325539991873,-1.6250623502037342
2003,209.0015641978755,336.95281180000006,545.9543759978756,1.0,1602.3162283698948,2.083674370707513
2004,211.85378132861666,346.8821553,558.7359366286166,1.0,1608.4101934118455,6.093965041950696
2005,218.12985384089802,351.53041470000005,569.6602685408981,1.0,1617.4487983336778,9.038604921832302
2006,219.0184620026358,361.5815305,580.5999925026358,1.0,1629.1074414689301,11.658643135252305
2007,216.66730312367744,357.22785230000005,573.8951554236775,1.0,1637.2345938551393,8.127152386209218
2008,219.12283847034666,358.4336323,577.5564707703467,1.0,1645.6673388520894,8.432744996950078
2009,222.3235176760374,359.7836666,582.1071842760374,1.0,1654.666747867459,8.999409015369565
2010,226.60960973237948,365.82240210000003,592.4320118323795,1.0,1666.0864323938283,11.419684526369338
2011,221.89235666632754,367.0318972,588.9242538663275,1.0,1675.0628432053065,8.976410811478218
2012,216.87255692976458,370.96316160000003,587.8357185297646,1.0,1682.6727592041366,7.609915998830047
2013,225.04080496585394,370.2459324,595.2867373658539,1.0,1691.9044006222741,9.231641418137542
2014,224.25213535169536,377.00284780000004,601.2549831516953,1.0,1702.0838877005758,10.17948707830169
2015,222.68572023447146,381.5206772,604.2063974344715,1.0,1712.1034730933216,10.01958539274574
2016,227.65943387735993,369.4090335000001,597.06846737736,1.0,1718.6313023890455,6.527829295723905
2017,230.3672479145878,370.1151464,600.4823943145879,1.0,1725.5616655394533,6.930363150407857
2018,230.83945968551512,373.18654800000013,604.0260076855152,1.0,1732.8925478744961,7.330882335042816
2019,237.65747052156087,381.5144058,619.1718763215608,1.0,1744.431162681554,11.538614807057911
2020,237.0142281363306,375.00440580000003,612.0186339363306,1.0,1752.3028514954656,7.871688813911533
