,natemis,Antr+BB,Totemis,ch4lifetime_fact,Conc,Trend
1988,215.0,297.990817919549,512.990817919549,1.0,1460.086999477787,7.692970507841892
1989,215.0,299.2419704961214,514.2419704961214,1.0,1467.333980988431,7.246981510643991
1990,215.0,302.9738366007256,517.9738366007256,1.0,1475.0085315611307,7.674550572699673
1991,215.0,316.0443104403371,531.0443104403371,1.0,1486.1632831127486,11.154751551617892
1992,215.0,298.3385526293896,513.3385526293896,1.0,1490.1905540637665,4.027270951017954
1993,215.0,298.32968740051797,513.329687400518,1.0,1493.7639472616288,3.5733931978622877
1994,215.0,306.8975623385286,521.8975623385286,1.0,1499.7818431108599,6.017895849231081
1995,215.0,295.94589077222037,510.94589077222037,1.0,1501.489854331033,1.708011220173148
1996,215.0,293.32614251621055,508.32614251621055,1.0,1502.1368377296028,0.6469833985697733
1997,215.0,315.2255,530.2255,1.0,1509.9821740008183,7.845336271215501
1998,215.0,297.786,512.7860000000001,1.0,1511.1589857619874,1.1768117611691196
1999,215.0,290.18649999999997,505.18649999999997,1.0,1509.6809231036227,-1.4780626583647063
2000,215.0,286.167,501.167,1.0,1507.0338470736408,-2.6470760299819176
2001,215.0,293.96279999999996,508.96279999999996,1.0,1507.2714447501237,0.23759767648289198
2002,215.0,308.4886,523.4886,1.0,1512.305142832487,5.033698082363344
2003,215.0,313.4844,528.4844,1.0,1518.4338699276364,6.128727095149316
2004,215.0,321.4202,536.4202,1.0,1526.5111234631797,8.077253535543377
2005,215.0,328.966,543.966,1.0,1536.1892427826867,9.678119319507005
2006,215.0,339.5914,554.5914,1.0,1548.31143519213,12.122192409443187
2007,215.0,340.1068,555.1068,1.0,1559.2474207764049,10.935985584274931
2008,215.0,344.2622,559.2622,1.0,1570.33853412324,11.091113346835073
2009,215.0,353.1976,568.1976,1.0,1583.154411175053,12.815877051813004
2010,215.0,359.223,574.223,1.0,1596.5357819809594,13.3813708059065
2011,215.0,364.4245,579.4245000000001,1.0,1610.1457854158416,13.610003434882174
2012,215.0,373.586,588.586,1.0,1625.2735792379954,15.127793822153762
2013,215.0,378.0775,593.0775,1.0,1640.1987315426006,14.925152304605263
2014,215.0,389.899,604.899,1.0,1657.3775621203717,17.178830577771123
2015,215.0,401.9505,616.9504999999999,1.0,1676.6340883159712,19.256526195599463
2016,215.0,399.27200000000005,614.272,1.0,1692.8451694756657,16.21108115969446
2017,215.0,406.7735,621.7735,1.0,1709.7316619316261,16.88649245596048
2018,215.0,413.58500000000004,628.585,1.0,1726.9888531456768,17.257191214050636
2019,215.0,427.4565,642.4565,1.0,1746.9192232944536,19.930370148776774
2020,215.0,427.918,642.918,1.0,1764.7712079278158,17.851984633362235
