,natemis,Antr+BB,Totemis,ch4lifetime_fact,Conc,Trend
1999,217.9089641525754,309.5890972813972,527.4980614339726,1.0,1515.2376621815117,6.1629672341025525
2000,223.84146230918932,310.3755556419565,534.2170179511459,1.0,1522.941318327294,7.703656145782361
2001,212.14445447990562,313.1005194228316,525.2449739027372,1.0,1526.8035901278843,3.862271800590179
2002,212.8758216861255,322.47491151980734,535.3507332059328,1.0,1533.5886110698589,6.785020941974608
2003,211.72546899530604,328.33133481161764,540.0568038069237,1.0,1541.1763720931815,7.587761023322628
2004,213.08436107609737,339.1599047856282,552.2442658617256,1.0,1551.9608835981319,10.784511504950387
2005,212.75712594098638,346.62478641877203,559.3819123597584,1.0,1563.907617758784,11.946734160652113
2006,214.2753006005639,356.7053574534424,570.9806580540063,1.0,1578.367567770044,14.459950011259934
2007,219.2960049118257,355.2617524896731,574.5577574014987,1.0,1592.3960651359641,14.028497365920202
2008,223.58951985494042,360.75844432030715,584.3479641752476,1.0,1608.104230682626,15.708165546661803
2009,225.71980135560707,364.45377111581536,590.1735724714224,1.0,1623.9877070526634,15.883476370037442
2010,221.51078875464103,371.1593157300012,592.6701044846423,1.0,1638.9215795478817,14.933872495218338
2011,231.70388323857958,372.924998542445,604.6288817810246,1.0,1656.1537312875191,17.232151739637402
2012,214.9830507354091,381.0856580369786,596.0687087723877,1.0,1668.614336055532,12.4606047680129
2013,217.41204857078336,381.87778643760544,599.2898350083888,1.0,1680.7491688327352,12.1348327772032
2014,224.21455529617825,388.1687589286987,612.3833142248769,1.0,1695.8724218159437,15.123252983208431
2015,216.73377395544077,398.732,615.4657739554408,1.0,1710.3257268995465,14.4533050836028
2016,211.4816056757864,390.97880000000004,602.4604056757864,1.0,1718.8427858158443,8.517058916297856
2017,219.41648958015332,393.4056,612.8220895801533,1.0,1729.8463657490227,11.003579933178344
2018,220.87595683236208,395.1424,616.0183568323621,1.0,1740.679063662091,10.832697913068387
