,Lifetime
1750,1604735.9051369864
1751,1604283.4309691782
1752,1603830.95680137
1753,1603378.4826335618
1754,1602926.0084657536
1755,1602473.5342979452
1756,1602021.060130137
1757,1601568.5859623288
1758,1601116.1117945206
1759,1600663.6376267124
1760,1600211.1634589043
1761,1599758.689291096
1762,1599306.2151232879
1763,1598853.7409554794
1764,1598401.2667876713
1765,1597948.792619863
1766,1597496.3184520549
1767,1597043.8442842467
1768,1596591.3701164385
1769,1596138.8959486303
1770,1595686.421780822
1771,1595233.9476130137
1772,1594781.4734452055
1773,1594328.9992773973
1774,1593876.525109589
1775,1593424.050941781
1776,1592971.5767739727
1777,1592519.1026061645
1778,1592066.6284383563
1779,1591614.1542705481
1780,1591161.6801027397
1781,1590709.2059349315
1782,1590256.7317671233
1783,1589804.2575993151
1784,1589351.783431507
1785,1588899.3092636988
1786,1588446.8350958906
1787,1587994.3609280824
1788,1587541.886760274
1789,1587089.4125924658
1790,1586636.9384246576
1791,1586184.4642568494
1792,1585731.9900890412
1793,1585279.515921233
1794,1584827.0417534248
1795,1584374.5675856166
1796,1583922.0934178082
1797,1583469.61925
1798,1583017.1450821918
1799,1582564.6709143836
1800,1582112.1967465754
1801,1581659.7225787672
1802,1581207.248410959
1803,1580754.7742431508
1804,1580302.3000753426
1805,1579849.8259075342
1806,1579397.351739726
1807,1578944.8775719178
1808,1578492.4034041096
1809,1578039.9292363015
1810,1577587.4550684933
1811,1577134.980900685
1812,1576682.5067328769
1813,1576230.0325650685
1814,1575777.5583972603
1815,1575325.084229452
1816,1574872.6100616439
1817,1574420.1358938357
1818,1573967.6617260275
1819,1573515.1875582193
1820,1573062.713390411
1821,1572610.2392226027
1822,1572157.7650547945
1823,1571705.2908869863
1824,1571252.816719178
1825,1570800.34255137
1826,1570347.8683835617
1827,1569895.3942157535
1828,1569442.9200479453
1829,1568990.445880137
1830,1568537.9717123287
1831,1568085.4975445205
1832,1567633.0233767123
1833,1567180.5492089042
1834,1566728.075041096
1835,1566275.6008732878
1836,1565823.1267054796
1837,1565370.6525376714
1838,1564918.178369863
1839,1564465.7042020548
1840,1564013.2300342466
1841,1563560.7558664384
1842,1563108.2816986302
1843,1562655.807530822
1844,1562203.3333630138
1845,1561750.8591952056
1846,1561298.3850273972
1847,1560845.910859589
1848,1560393.4366917808
1849,1559940.9625239726
1850,1559488.4883561644
1851,1559062.3778082193
1852,1558636.267260274
1853,1558210.1567123288
1854,1557784.0461643836
1855,1557357.9356164383
1856,1556931.8250684931
1857,1556505.714520548
1858,1556079.6039726029
1859,1555653.4934246575
1860,1555227.3828767124
1861,1554801.2723287672
1862,1554375.1617808219
1863,1553949.0512328767
1864,1553522.9406849316
1865,1553096.8301369864
1866,1552670.719589041
1867,1552244.609041096
1868,1551818.4984931508
1869,1551392.3879452054
1870,1550966.2773972603
1871,1550540.1668493152
1872,1550114.0563013698
1873,1549687.9457534247
1874,1549261.8352054795
1875,1548835.7246575342
1876,1548409.614109589
1877,1547983.503561644
1878,1547557.3930136987
1879,1547131.2824657534
1880,1546705.1719178082
1881,1546279.061369863
1882,1545852.9508219177
1883,1545426.8402739726
1884,1545000.7297260275
1885,1544574.6191780823
1886,1544148.508630137
1887,1543722.3980821918
1888,1543296.2875342467
1889,1542870.1769863013
1890,1542444.0664383562
1891,1542017.955890411
1892,1541591.8453424657
1893,1541165.7347945205
1894,1540739.6242465754
1895,1540313.51369863
1896,1539887.403150685
1897,1539461.2926027398
1898,1539035.1820547946
1899,1538609.0715068493
1900,1538182.9609589041
1901,1537756.850410959
1902,1537330.7398630136
1903,1536904.6293150685
1904,1536478.5187671233
1905,1536052.4082191782
1906,1535626.2976712328
1907,1535200.1871232877
1908,1534774.0765753426
1909,1534347.9660273972
1910,1533921.855479452
1911,1533495.744931507
1912,1533069.6343835616
1913,1532643.5238356164
1914,1532217.4132876713
1915,1531791.302739726
1916,1531365.1921917808
1917,1530939.0816438356
1918,1530512.9710958905
1919,1530086.8605479451
1920,1529660.75
1921,1529234.6394520549
1922,1528808.5289041095
