,Lifetime
1750,1599296.7444447055
1751,1598845.803912245
1752,1598394.8633797846
1753,1597943.922847324
1754,1597492.9823148635
1755,1597042.041782403
1756,1596591.1012499423
1757,1596140.1607174817
1758,1595689.2201850212
1759,1595238.2796525608
1760,1594787.3391201005
1761,1594336.3985876397
1762,1593885.4580551796
1763,1593434.5175227185
1764,1592983.576990258
1765,1592532.6364577974
1766,1592081.695925337
1767,1591630.7553928767
1768,1591179.8148604159
1769,1590728.8743279555
1770,1590277.933795495
1771,1589826.9932630342
1772,1589376.0527305736
1773,1588925.1121981132
1774,1588474.1716656527
1775,1588023.231133192
1776,1587572.2906007317
1777,1587121.350068271
1778,1586670.4095358106
1779,1586219.4690033498
1780,1585768.5284708894
1781,1585317.5879384289
1782,1584866.647405968
1783,1584415.706873508
1784,1583964.7663410474
1785,1583513.8258085868
1786,1583062.8852761264
1787,1582611.9447436659
1788,1582161.004211205
1789,1581710.0636787445
1790,1581259.1231462841
1791,1580808.1826138236
1792,1580357.242081363
1793,1579906.3015489026
1794,1579455.361016442
1795,1579004.4204839815
1796,1578553.4799515207
1797,1578102.5394190603
1798,1577651.5988865998
1799,1577200.6583541392
1800,1576749.7178216788
1801,1576298.7772892183
1802,1575847.8367567577
1803,1575396.8962242971
1804,1574945.9556918368
1805,1574495.015159376
1806,1574044.0746269154
1807,1573593.134094455
1808,1573142.1935619945
1809,1572691.2530295341
1810,1572240.3124970733
1811,1571789.371964613
1812,1571338.4314321524
1813,1570887.4908996916
1814,1570436.5503672315
1815,1569985.6098347707
1816,1569534.6693023103
1817,1569083.7287698498
1818,1568632.7882373892
1819,1568181.8477049286
1820,1567730.907172468
1821,1567279.9666400074
1822,1566829.0261075469
1823,1566378.0855750863
1824,1565927.145042626
1825,1565476.2045101654
1826,1565025.2639777046
1827,1564574.3234452442
1828,1564123.3829127837
1829,1563672.442380323
1830,1563221.5018478625
1831,1562770.561315402
1832,1562319.6207829416
1833,1561868.680250481
1834,1561417.7397180204
1835,1560966.79918556
1836,1560515.8586530995
1837,1560064.918120639
1838,1559613.9775881784
1839,1559163.0370557178
1840,1558712.0965232572
1841,1558261.1559907966
1842,1557810.2154583363
1843,1557359.2749258757
1844,1556908.3343934151
1845,1556457.3938609548
1846,1556006.453328494
1847,1555555.5127960334
1848,1555104.572263573
1849,1554653.6317311125
1850,1554202.691198652
1851,1553778.0249280708
1852,1553353.3586574893
1853,1552928.6923869082
1854,1552504.0261163271
1855,1552079.3598457458
1856,1551654.6935751645
1857,1551230.0273045835
1858,1550805.3610340022
1859,1550380.6947634208
1860,1549956.0284928395
1861,1549531.3622222585
1862,1549106.6959516774
1863,1548682.0296810959
1864,1548257.3634105148
1865,1547832.6971399337
1866,1547408.0308693522
1867,1546983.364598771
1868,1546558.6983281898
1869,1546134.0320576085
1870,1545709.3657870274
1871,1545284.699516446
1872,1544860.0332458648
1873,1544435.366975284
1874,1544010.7007047024
1875,1543586.034434121
1876,1543161.36816354
1877,1542736.7018929587
1878,1542312.0356223776
1879,1541887.369351796
1880,1541462.703081215
1881,1541038.036810634
1882,1540613.3705400522
1883,1540188.7042694713
1884,1539764.0379988905
1885,1539339.371728309
1886,1538914.7054577277
1887,1538490.0391871464
1888,1538065.3729165653
1889,1537640.7066459837
1890,1537216.0403754027
1891,1536791.3741048216
1892,1536366.7078342403
1893,1535942.0415636587
1894,1535517.375293078
1895,1535092.7090224966
1896,1534668.0427519153
1897,1534243.3764813342
1898,1533818.710210753
1899,1533394.0439401716
1900,1532969.3776695903
1901,1532544.7113990092
1902,1532120.045128428
1903,1531695.3788578468
1904,1531270.7125872653
1905,1530846.0463166845
1906,1530421.3800461031
1907,1529996.7137755218
1908,1529572.0475049408
1909,1529147.3812343592
1910,1528722.7149637782
1911,1528298.048693197
1912,1527873.3824226155
1913,1527448.7161520345
1914,1527024.0498814534
1915,1526599.3836108719
1916,1526174.7173402908
1917,1525750.0510697095
1918,1525325.3847991284
1919,1524900.718528547
1920,1524476.0522579658
1921,1524051.3859873847
1922,1523626.7197168034
1923,1523202.053446222
1924,1522777.387175641
1925,1522352.72090506
1926,1521928.0546344784
1927,1521503.3883638973
1928,1521078.722093316
1929,1520654.0558227347
1930,1520229.3895521536
1931,1519804.7232815723
1932,1519380.057010991
1933,1518955.39074041
1934,1518530.7244698287
1935,1518106.0581992473
1936,1517681.3919286663
1937,1517256.725658085
1938,1516832.059387504
1939,1516407.3931169224
1940,1515982.7268463415
1941,1515558.0605757602
1942,1515133.3943051787
1943,1514708.7280345976
1944,1514284.0617640165
1945,1513859.3954934352
1946,1513434.729222854
1947,1513010.0629522728
1948,1512585.3966816915
1949,1512160.7304111102
1950,1511736.064140529
1951,1512193.2912821446
1952,1512650.5184237603
1953,1513107.745565376
1954,1513564.9727069917
1955,1514022.1998486072
1956,1514479.426990223
1957,1514936.6541318388
1958,1515393.881273454
1959,1515851.10841507
1960,1516308.335556686
1961,1516765.5626983012
1962,1517222.789839917
1963,1517680.0169815328
1964,1518137.2441231483
1965,1518594.4712647642
1966,1519051.6984063797
1967,1519508.9255479954
1968,1519966.152689611
1969,1520423.3798312268
1970,1520880.6069728425
1971,1519704.7934481846
1972,1518528.9799235268
1973,1517353.1663988691
1974,1516177.352874211
1975,1515001.5393495527
1976,1513825.7258248948
1977,1512649.912300237
1978,1511474.098775579
1979,1510298.285250921
1980,1509122.4717262632
1981,1509260.067841308
1982,1509397.663956353
1983,1509535.2600713978
1984,1509672.8561864428
1985,1509810.4523014878
1986,1509948.0484165328
1987,1510085.6445315778
1988,1510223.2406466226
1989,1510360.8367616676
1990,1510498.4328767124
1991,1511689.542808219
1992,1532984.159931507
1993,1540179.76369863
1994,1518925.8071917808
1995,1526955.9380136987
1996,1518761.8078767124
1997,1513321.034589041
1998,1535549.681849315
1999,1525109.4883561644
2000,1532150.2520547945
2001,1535431.840068493
2002,1531891.5363013698
2003,1540941.6476027397
2004,1552828.2493150686
2005,1566064.373630137
2006,1571028.0993150685
2007,1584134.5174657535
2008,1585388.7784246576
2009,1570966.237328767
2010,1576688.0393835616
2011,1590376.0452054795
2012,1572296.2469178082
2013,1568404.3297945205
2014,1563162.1859589042
2015,1554363.456849315
2016,1578050.5657534248
2017,1571284.4352739726
2018,1568756.7134445366
2019,1566228.9916151008
2020,1563701.2697856647
