,Global,Lat:N60,Lat:30N-60N,Lat:90S-20N,Tropical America,Tropical Africa,South Asia,Russia,North America,Scandinavia
1990,173.7116727578981,7.679344818235641,9.368768100914124,141.26544844402957,81.64499667666729,23.063222612736144,29.23796178715856,5.998253018273077,7.548175641454675,0.08538010030280654
1991,175.68957713020944,7.166743638896373,11.171641460765263,145.43226397508226,80.05541053014637,23.45002109820101,32.141198822047066,6.434672162141719,7.944849213773042,0.09630589601875912
1992,161.8178459839887,5.5419927842671495,6.322677008724857,136.69341113005282,80.02548394049039,17.896300835621247,28.132422499417757,4.004208033707088,5.828497464896946,0.022785445560866986
1993,164.47539942970553,6.375212478929701,9.701927899908636,135.79617522259542,77.55242905796167,19.727391134290503,27.538267780392474,5.906619729907339,6.740646135530681,0.07268913411657485
1994,174.51945318655433,6.019205822081842,9.102226656809776,148.26980088389865,88.88783970726132,19.836930646308222,28.885826430430324,5.516810438966209,6.968265787812418,0.022379045799782993
1995,174.19932722183532,5.781632379108315,8.261162596295689,149.2251600975104,86.50944734363509,20.30710572549312,29.598941166830773,4.596333496548451,6.500637842120795,0.09344370730765718
1996,190.91276509723542,5.841728790776141,8.190336499830355,164.8019607403319,98.21726531363672,19.370932741252183,31.589919708844185,4.765886308652226,6.693286555174895,-0.009789189037106776
1997,191.95331984193317,6.035337362499964,8.582087776978508,162.1481376063871,95.24985919276003,21.668156475134136,32.86016418037375,3.78517121743931,8.261371446044759,0.03936217624586036
1998,190.63987749763925,7.0326673351094895,11.467829702469116,154.26824723986934,87.49932727633752,24.67369947596757,28.271562106366233,5.526547999590907,8.423610545512238,0.1481404900540455
1999,202.12691141695993,5.8931797614298995,9.422381308043184,173.54012625645962,92.6632708048375,25.289932941771983,38.753788179404395,4.568997395244731,7.311196958194793,0.14831747930515585
2000,210.49543756496072,6.884428295789649,7.382288164583752,182.41206034458287,103.3261443048954,23.585556309117976,41.382955632990985,5.553106156959274,6.660881847634114,0.09537436938536077
2001,190.536444298136,6.409881462053447,9.261376762805666,159.99292729946305,88.63070553483163,23.182067584731783,36.228377006209655,5.227106609344147,8.269412524271388,0.16118893429426484
2002,196.7838604998013,6.380140181955346,8.565686783322114,166.71895618998505,95.0975508691856,24.97932649952274,32.93786723622628,4.974728505159842,8.153706956357043,0.09387957774770685
2003,191.40815062844712,6.57726040332799,10.657311362790198,158.75960306526625,89.47851409480296,22.074127638625022,35.15517699958419,5.753645673085596,8.098086608094407,0.02937798327914176
2004,199.2159414493949,6.116886512690957,7.94378529190695,174.78297448909586,101.96501126028448,18.46862270300176,39.25457619933294,5.229214437556205,6.1876394744622765,0.09340993206147934
2005,189.5079577644091,6.92299196763317,10.396498477515733,162.40390733232272,94.81184100053605,18.24221521608131,35.44437954598059,6.342477184865094,8.29694139536289,0.12327851672369566
2006,203.70879951570328,6.342663533657663,8.221297033777775,178.06479956129314,106.83030031757527,19.907605482928062,34.916275603987565,5.270865252883066,7.815923696238996,-0.0030966356758162666
2007,202.0368243833581,7.865142451285693,8.824943704890751,172.65534537009867,97.92518326955205,23.522087831197766,36.36377854281061,6.321679233641035,7.5893381190036875,0.09928856469595579
2008,206.94685290014138,7.3450184949420185,7.4684057435268745,182.50035233965647,106.65206671717978,24.61374756510234,34.80603335099432,5.355673265726241,7.562361870417046,0.058783849770445123
2009,210.2243912881691,7.607273788949734,9.310315890144636,182.51198476627178,106.84898692410154,22.383360444416937,40.49613831286745,6.252585400430992,8.236991636034665,0.12901375455181677
2010,206.74666236696305,5.945392156299355,10.562297242178472,175.16413262284428,97.54052282939611,20.74437012087072,36.89062110328065,4.098403381053485,8.97430568156715,0.2039195124676134
2011,224.49087989161887,6.482153612800261,9.761287121280244,194.7433864456265,113.30074630375464,19.621786305020866,45.700554824041106,4.878764761078766,8.603079376600874,0.1615228785964915
2012,197.54104425610265,7.946616386327708,9.587156948321695,168.45281090758522,98.86252830979588,21.101800919574757,35.761054111818815,6.585298313497319,8.513000665296051,0.15127662509981832
2013,195.52190866466853,7.566982479819099,11.52424897781871,165.4592241785583,92.72245897084485,22.463323406178784,36.384544686089306,5.295965403724086,8.890823157937277,0.17232433044642595
2014,203.43710453286346,7.359038447520593,9.718761319115803,172.99172064011913,97.92640060064352,21.127415686680784,38.73747722836484,4.863301916654616,8.4350774583185,0.07087362159790608
2015,194.9058147118236,7.0699817512769165,9.511792463822726,161.7978925892368,94.55556143743112,20.108559022665325,35.37310968847361,5.444975597270508,8.59120986304063,-8.871998425452196e-05
2016,184.06241211551693,9.076052122071623,11.894377371772249,146.07227397259965,78.90242698557914,23.68802154224117,29.454786892681206,7.887609473741433,9.008868655219985,0.10595764161807773
2017,200.57117272495316,7.347577858521959,9.254788266483642,168.95534445758005,88.71572931852029,24.58861328996812,41.48132935478208,5.060639477763318,8.302661752386578,0.13488241502095807
2018,203.10576741807765,8.046960170359409,11.064197643126237,171.69381268670335,94.2463144862857,23.67436028998714,38.3518604410849,5.6302856589225625,9.246059239624271,0.14914184130314959
2019,195.64472226467882,7.45230804940746,10.359588403777408,164.66346778620493,92.10347750963545,24.611964264012943,33.45682170606002,5.750217185649679,8.752770748243849,0.029014154155367622
