,glob,lat_n60,lat_3060n,lat_90s30n
2000,182.20074207567615,31.15005060034778,37.55453661103276,113.49615486429559
2001,178.07409610547035,28.97585880135319,39.210783624929626,109.88745367918752
2002,176.43329039088687,29.557292717208043,37.20637525016708,109.66962242351171
2003,177.38667101895803,29.538025527454074,39.7155270478973,108.13311844360665
2004,169.27830757236092,27.3149559315001,37.49214388736434,104.4712077534965
2005,176.26873148591523,30.681092256068585,42.55518049582386,103.03245873402277
2006,172.5895022491411,28.514862303096557,37.467339854902306,106.60730009114225
2007,180.44498797336507,32.81582616096856,39.923847357384936,107.70531445501159
2008,181.36253787966234,33.60593957663857,38.80581586869492,108.95078243432883
2009,183.4751682120769,33.43480265843691,41.6214972526933,108.41886830094671
2010,181.53407552632544,28.85589467568324,43.761299338782976,108.9168815118592
2011,182.70615859169828,30.19704399779908,41.32601980050431,111.18309479339487
2012,178.34277682036708,30.84589964359919,39.39435758615442,108.10251959061344
2013,181.2914634140911,31.376322979749652,43.74276048787901,106.17237994646243
2014,183.63763490463046,33.71781049839024,42.362973327425166,107.55685107881506
2015,177.8186669828249,32.570299930029755,40.93034726179472,104.31801979100041
2016,180.39329786618973,33.87993065256907,43.01467726518224,103.49868994843843
