,glob,lat_n60,lat_3060n,lat_90s30n
1990,-23.309976442562437,-0.34262001123624825,-4.0407622852107,-12.630986490298781
1991,-23.33638019818765,-0.33122280643366503,-4.016439238805427,-12.404453725398733
1992,-23.271792913756297,-0.30487689366143084,-3.979689256151823,-12.581801895050067
1993,-23.14267893104334,-0.32164431233502905,-3.7662914054409278,-12.378144801933527
1994,-23.17275297582451,-0.31090838665871856,-3.901813548142486,-12.306762253040315
1995,-23.3982905765105,-0.3274547483287446,-3.9136936803438607,-12.267506282267275
1996,-23.007336644712034,-0.30597730446690696,-3.8690518705685815,-12.180659937538028
1997,-23.38217386568615,-0.29941050134666136,-3.8447833070677446,-12.083991916059988
1998,-23.42320954308222,-0.2570988930782781,-3.848669504144217,-12.433330935637352
1999,-23.084091507744134,-0.26496331967702275,-3.995175118293383,-11.691013944465256
2000,-22.974694594444255,-0.2725177199383789,-4.065745739847108,-11.175583136681357
2001,-23.26624185362253,-0.25986085786620533,-4.015129447067332,-11.604490542457143
2002,-23.364425583183646,-0.3115711847885498,-4.080550121813431,-12.125154312205112
2003,-23.356993379524546,-0.3314044445577398,-3.9647142216491216,-12.082507174354243
2004,-23.463867394941776,-0.2925252711201526,-3.960456810322267,-12.029658029413278
2005,-23.733000208431108,-0.29726580822839865,-3.9770593996933035,-12.481829937075563
2006,-23.546652462457416,-0.32552091611011336,-4.163677455009573,-12.095875068361167
2007,-23.674479918092374,-0.30542113734221044,-4.090690603386189,-12.0978381705365
2008,-23.427323817800108,-0.25293262460865895,-4.107483233883588,-11.88800369661322
2009,-23.606875068898788,-0.25429918815793806,-3.8719066019121273,-12.456046545317266
2010,-23.425003237046024,-0.3070273646091787,-3.836515362113171,-12.088006741577003
2011,-23.400462223030594,-0.3093190524816223,-3.9914417414954184,-11.862921125505084
2012,-23.59355868444124,-0.2889858715789687,-4.214424649657201,-12.217429433974134
2013,-23.575572534895468,-0.31186505787404,-3.837511500324957,-12.4108809986355
2014,-23.68810445134538,-0.31268104552522724,-3.9289712194340907,-12.315357327073311
2015,-23.964233817243557,-0.2923892168368949,-4.084590286090612,-12.931546634971214
2016,-24.129915526228622,-0.3293645253417303,-4.0842178511060645,-13.025035686109259
