,Annual
1990,86.29359180864384
1991,85.17489615400015
1992,77.49819715816666
1993,80.49690592432256
1994,83.34110659669709
1995,81.11642815351382
1996,88.04744836948677
1997,92.78082485587274
1998,90.37055126806275
1999,94.61276267191708
2000,98.95837369023243
2001,90.65518198733814
2002,91.14954504912362
2003,90.34203494798848
2004,91.75843370308884
2005,91.09886436458156
2006,92.32220061015808
2007,95.61639022525368
2008,99.0153572847043
2009,100.44879924494796
2010,97.12814464168078
2011,104.6482099161185
2012,92.6820661194935
2013,94.39077215990474
2014,99.32661229475605
2015,94.02777306045924
2016,89.86329694939158
2017,95.75913134016302
2018,96.58826850695633
2019,94.21122429007534
