,glob,lat_n60,lat_3060n,lat_90s30n
1990,-23.17201309642174,-0.3816064639016611,-4.321427229572674,-13.804318407271005
1991,-23.139811619755783,-0.3779226965555324,-4.254658024025158,-13.733363498818246
1992,-23.059817547131004,-0.33784392272721236,-4.259392398637719,-13.861909971475786
1993,-22.98368050405155,-0.3515818436664264,-4.037569202941189,-13.815703363858312
1994,-23.06598406679844,-0.3493417568654881,-4.229396125392379,-13.782291975395257
1995,-23.182109571158474,-0.3672986040978303,-4.283829681301684,-13.727512816653455
1996,-22.782525314710156,-0.34399160290998987,-4.1644263671718615,-13.561536786106391
1997,-23.13330564258103,-0.3393534753911709,-4.194863499830743,-13.60382501870438
1998,-23.263717220653742,-0.28692325172203326,-4.194940135715643,-13.85116182184898
1999,-22.96569446381871,-0.29789280773650995,-4.338699390049061,-13.326132505477986
2000,-22.897677427524776,-0.30526446401219615,-4.378260800171704,-13.02969806562373
2001,-23.056044265562207,-0.2818405623426094,-4.346006293337864,-13.403065221429928
2002,-23.20632022929461,-0.34804015997473353,-4.422985983027599,-13.68482680721062
2003,-23.2291349077895,-0.3627302081623536,-4.304390088019287,-13.819228951229107
2004,-23.229274402717458,-0.31476954436249555,-4.260954999802221,-13.86004688569681
2005,-23.500754660922595,-0.32784202144544916,-4.2765561466812185,-14.161057168999841
2006,-23.30595336204016,-0.3715474076887919,-4.441273666557839,-13.774718166792061
2007,-23.345939568866466,-0.3458327726186687,-4.4464986405357845,-13.6785073964369
2008,-23.150606607491483,-0.2884499497850215,-4.464442666964406,-13.490034007869973
2009,-23.261547869143953,-0.2907812362808209,-4.235408302881516,-13.962381273381126
2010,-23.180601807395828,-0.3564433721296166,-4.2024216339026035,-13.71571486600043
2011,-23.13974611380758,-0.3441323430363935,-4.310608808459203,-13.50258739286047
2012,-23.357882458919196,-0.31037386646853565,-4.499017577924223,-13.808170703528567
2013,-23.286470145456622,-0.3467823370001036,-4.149029628404123,-13.891480398180747
2014,-23.457882394272453,-0.33569753389351775,-4.309893682550343,-13.898909368842112
2015,-23.740256186325894,-0.32692468456504914,-4.484630268574305,-14.238807225591884
2016,-23.81395308883407,-0.38066827999389263,-4.393718157798196,-14.143716227093208
2017,-23.501070842894137,-0.3416899792070919,-4.409852754908878,-13.8739591665127
2018,-23.48099904889634,-0.3490399628527324,-4.353057502412771,-13.811775357306981
2019,-23.62251233926925,-0.3573909250805637,-4.367332255746972,-14.124765585861585
