,Global,Lat:N60,Lat:30N-60N,Lat:90S-20N,Tropical America,Tropical Africa,South Asia,Russia,North America,Scandinavia
1990,78.32606747471814,16.12004864066892,16.56780572265,41.728798288319254,25.275357601404632,7.501674107286254,8.575737942666859,9.342655679851292,15.597690178752437,0.44420058694509856
1991,77.9879927101331,17.00766624587972,17.05024013507761,42.37853908355577,23.759639535337044,8.610510689660806,9.054513782085984,10.464135654289892,16.734978066862332,0.44086211822796023
1992,69.19783437633734,15.233975132467492,13.647492146382746,36.31132476485259,20.482685003256464,5.831859986386975,7.966388397604611,8.86942646052244,15.061276359860086,0.3201883331940492
1993,76.59825957500618,15.467141891191488,16.149323659039407,43.073440584069246,26.68034533133336,5.9788129477586915,8.141354576200563,10.298854347960624,15.014604974816528,0.3860560667430822
1994,82.13493786805748,15.540741209720244,16.212639976678656,48.05055899073739,29.874693567759977,7.320748296090934,8.832241405299053,10.648993224394918,14.968010872127621,0.30672157183481347
1995,79.15811009210795,15.704940039541112,14.785593003452556,46.20634450483219,26.335132428546988,7.556688138102922,9.312380067674496,9.826034819673257,13.572332472287112,0.3699718840438938
1996,85.80688874310357,16.339563943487423,15.56320625832191,51.81428024979326,32.77034111233096,5.999809444257885,9.347718155705284,9.557163008901785,15.585644358357317,0.24740972576063572
1997,89.28106970713894,18.787918370392692,18.725633724894568,48.76049644175567,29.43385971997344,7.1825165825662385,9.946042341271138,10.239603808979455,20.70421260148734,0.2925632705408977
1998,85.27931847866853,17.37307605595896,17.13500799136444,44.70043989722355,26.190460459990664,7.000326348819758,9.018569628503553,9.39356332184228,17.20633169586919,0.5137837081044176
1999,90.886216921126,16.48391433439821,16.20715184891446,55.76522091105751,31.350472009321372,10.239984013626373,10.055578267934242,9.810710859882423,16.15014491269883,0.41576188167722306
2000,94.3694551829553,18.52579318779323,14.649836635209178,57.42363857811866,34.64143173586702,8.012613386634055,12.626134598950577,11.151130744288825,14.637837390916914,0.5252071084733464
2001,82.00957953811952,15.890786672845653,15.826186084980312,46.183021885580985,26.675505911087654,7.460932745455749,9.822886583164296,10.509520388688568,15.615218272700655,0.43172771700625323
2002,85.28486697884485,16.279408435889792,14.8993967359414,50.25355910930031,30.272210914997103,8.221550519343445,9.51803706035663,9.905062907032729,14.981327953564882,0.30743675713220603
2003,87.0130198237963,16.055416900922204,17.884085872161087,49.378897625832934,29.60441639480425,7.065033993681672,9.832350349795952,10.449210657150996,17.202365025265518,0.26420610075290535
2004,85.498851336104,15.634337374698235,15.79824394813185,52.34369657333918,33.39581199411445,5.9484489900713235,9.888764451698338,9.544561190209345,14.97515751964808,0.4052478927526729
2005,85.41673444446435,16.79862984790831,18.74825506978386,48.250511572591286,29.70459992777256,6.4632362879131495,9.820939464851456,11.740240243824458,17.900359368560153,0.4306951077443098
2006,86.12810951288427,15.867839314431654,13.739924298332578,56.06195657281224,36.23178562097902,7.184856772978859,9.154533971255809,9.429568946974301,14.84037849149797,0.24575063696471627
2007,89.31833856920612,18.80828608629794,16.439013604224066,52.505373780555196,30.26005906376617,9.145200108092011,9.985676623764498,11.485933039621425,15.96501225122519,0.43994462072256263
2008,94.86040412376872,19.660668396359107,16.06403945381414,58.63641422406078,36.15354355778806,8.344536344992497,9.873679923643998,11.23038638502072,17.191577557975073,0.425361389828238
2009,90.69991195879366,18.488319444665258,17.189796955057034,53.84271957662603,33.49655450803609,7.778987185858626,10.475179947072476,12.46197607039384,16.57130158974612,0.4802152237953824
2010,90.78371913570999,15.551841342665474,19.14471875708368,52.87174085593269,29.382698763807696,6.904172346851384,10.83340739173951,9.950687709721162,17.594558549747045,0.5110828196146938
2011,94.0403942074062,17.196172907373768,16.7781118880525,58.156570650668336,36.18293943784642,5.529618110683317,13.370093277179903,10.811416346700046,15.720122780429541,0.5272775231975848
2012,83.95042886437717,16.59170110376362,14.495073930593355,51.076147529960785,28.90140196275016,6.992632776270019,12.584302108511062,9.692627156095472,14.91413622400074,0.5052416167534108
2013,86.03110059484739,17.451830047096983,19.19186804400515,48.11156572005665,27.197791059257607,6.442693840994004,11.108626822841037,9.53931927951034,16.6293384904564,0.4672172705322167
2014,87.69859338806054,18.678440555470395,18.168089515519075,48.30524492569501,27.708341859582333,6.321539464060178,10.952081669126722,10.022521850727458,17.003149589445854,0.33920668928836717
2015,81.82051496574302,17.519801237599808,15.602487448440076,44.339302839786896,27.431650446928238,5.280726214916141,9.916234522085004,11.873333721097955,15.454296471614153,0.3225972440465943
2016,78.78622056110291,17.171874963079226,16.531981476762073,38.09087140326179,21.22556613919738,5.506274838244964,8.89569944616573,11.75393254115354,15.941802503201547,0.3193394254191678
