,Annual
1990,159.16692868642076
1991,159.63512127112892
1992,147.04994215463475
1993,152.30013788108582
1994,157.09398221502147
1995,153.33544451976857
1996,164.4073056526532
1997,172.32908899114642
1998,169.62121672693513
1999,175.8969988784057
2000,182.76630134137275
2001,169.22221206062613
2002,170.06906989663213
2003,168.73706432937928
2004,170.31053986549546
2005,169.93163083590207
2006,171.68954135739514
2007,177.50306806750964
2008,182.47457450458165
2009,184.94125002188093
2010,180.06758974197987
2011,191.8702818280639
2012,172.509052736263
2013,175.3216150620474
2014,183.19830966346237
2015,174.53623369946808
2016,168.45469240827956
2017,177.6425785413511
2018,179.3325111339201
2019,174.99042255527667
