,Annual
1990,173.7116727578981
1991,175.68957713020944
1992,161.8178459839887
1993,164.47539942970553
1994,174.51945318655433
1995,174.19932722183532
1996,190.91276509723545
1997,191.9533198419332
1998,190.63987749763925
1999,202.12691141695996
2000,210.49543756496072
2001,190.536444298136
2002,196.7838604998013
2003,191.40815062844712
2004,199.2159414493949
2005,189.5079577644091
2006,203.70879951570328
2007,202.0368243833581
2008,206.94685290014135
2009,210.2243912881691
2010,206.74666236696305
2011,224.49087989161887
2012,197.54104425610265
2013,195.52190866466853
2014,203.43710453286343
2015,194.9058147118236
2016,184.0624121155169
2017,200.5711727249532
2018,203.10576741807765
2019,195.6447222646788
